Date,Open,High,Low,Close,signals,selected_strategy,regime,model_name,accuracy
2026-08-21 20:00:00,90.92,91.95,90.6,91.75,,momentum,Bull,xgboost,0.521311475409836
2026-08-21 21:00:00,91.82,93.83,91.7,93.74,,momentum,Bull,xgboost,0.521311475409836
2026-08-21 22:00:00,93.76,94.58,93.33,94.33,,momentum,Bull,xgboost,0.521311475409836
2026-08-21 23:00:00,94.28,94.96,93.43,93.68,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 00:00:00,93.68,94.37,92.89,93.86,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 01:00:00,93.86,94.4,93.54,93.71,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 02:00:00,93.74,95.75,93.74,95.59,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 03:00:00,95.63,97.52,95.52,96.86,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 04:00:00,96.84,102.68,96.22,99.06,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 05:00:00,99.25,99.93,87.74,94.3,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 06:00:00,94.17,95.07,93.17,94.28,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 07:00:00,94.23,95.46,94.13,94.49,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 08:00:00,94.47,94.93,93.11,94.08,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 09:00:00,94.08,94.57,93.13,93.92,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 10:00:00,93.96,93.96,91.43,92.93,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 11:00:00,92.9,93.47,92.63,93.29,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 12:00:00,93.23,94.29,93.19,93.89,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 13:00:00,93.89,94.22,93.57,94.13,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 14:00:00,94.14,94.23,92.95,93.3,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 15:00:00,93.25,93.55,92.85,93.17,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 16:00:00,93.08,94.61,93.08,94.28,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 17:00:00,94.29,94.5,93.79,94.3,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 18:00:00,94.32,94.48,94.06,94.13,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 19:00:00,94.45,94.79,94.29,94.47,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 20:00:00,94.53,94.77,94.41,94.42,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 21:00:00,94.16,94.16,92.76,92.76,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 22:00:00,92.81,93.99,92.63,93.66,,momentum,Bull,xgboost,0.521311475409836
2026-08-22 23:00:00,93.62,93.99,93.39,93.99,,momentum,Bull,xgboost,0.521311475409836
2026-08-23 00:00:00,93.96,97.19,93.66,96.47,,momentum,Bull,xgboost,0.521311475409836
2026-08-23 01:00:00,96.34,96.53,95.76,96.05,,momentum,Bull,xgboost,0.521311475409836
2026-08-23 02:00:00,96.0,96.37,94.05,94.95,,momentum,Bull,xgboost,0.521311475409836
2026-08-23 03:00:00,94.92,94.99,93.46,93.71,,momentum,Bull,xgboost,0.521311475409836
2026-08-23 04:00:00,93.87,94.07,92.27,92.61,,momentum,Bull,xgboost,0.521311475409836
2026-08-23 05:00:00,92.65,93.23,91.62,92.44,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 06:00:00,92.29,92.72,91.87,92.08,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 07:00:00,92.2,92.9,92.18,92.47,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 08:00:00,92.8,93.46,92.75,93.15,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 09:00:00,93.37,93.49,93.04,93.39,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 10:00:00,93.33,94.09,93.32,93.64,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 11:00:00,93.61,94.77,93.57,94.62,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 12:00:00,94.52,94.8,94.12,94.59,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 13:00:00,94.64,95.75,94.64,95.38,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 14:00:00,95.43,95.61,93.36,95.02,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 15:00:00,94.96,95.85,94.77,95.35,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 16:00:00,95.43,95.71,95.16,95.47,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 17:00:00,95.49,95.49,94.87,95.21,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 18:00:00,95.07,95.46,95.07,95.22,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 19:00:00,95.22,95.46,94.86,95.11,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 20:00:00,95.04,95.37,94.81,95.04,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 21:00:00,95.27,96.2,95.25,95.37,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 22:00:00,95.39,95.69,94.87,95.54,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-23 23:00:00,95.42,95.84,95.05,95.5,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 00:00:00,95.48,95.52,93.95,95.52,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 01:00:00,95.48,95.49,93.81,93.87,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 02:00:00,93.87,95.02,93.72,94.49,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 03:00:00,94.64,94.64,93.54,93.76,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 04:00:00,93.7,94.32,93.68,93.94,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 05:00:00,94.17,94.59,93.53,94.12,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 06:00:00,94.26,94.57,93.89,94.39,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 07:00:00,94.63,95.43,94.04,94.1,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 08:00:00,94.01,94.31,93.36,93.98,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 09:00:00,94.07,94.82,94.07,94.74,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 10:00:00,94.62,95.04,94.62,94.71,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 11:00:00,94.45,96.27,94.3,95.76,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 12:00:00,95.63,96.62,94.36,96.37,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 13:00:00,96.31,96.46,94.34,94.89,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 14:00:00,95.05,96.7,95.05,96.04,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 15:00:00,96.09,97.54,96.06,96.39,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 16:00:00,96.57,97.52,95.87,96.07,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 17:00:00,95.96,96.18,94.87,95.33,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 18:00:00,95.46,96.4,95.46,95.93,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 19:00:00,95.94,96.61,95.46,96.52,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 20:00:00,96.62,96.7,95.77,96.52,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 21:00:00,96.65,97.53,96.65,97.53,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 22:00:00,97.4,98.64,97.38,97.4,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-24 23:00:00,97.45,98.96,97.33,98.96,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 00:00:00,98.96,102.74,98.67,101.72,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 01:00:00,101.76,102.48,100.12,100.39,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 02:00:00,100.37,102.36,100.23,101.0,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 03:00:00,100.93,101.98,100.9,101.61,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 04:00:00,101.58,101.68,100.86,101.06,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 05:00:00,101.53,102.97,101.52,102.0,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 06:00:00,102.02,102.02,100.49,100.49,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 07:00:00,100.73,101.87,99.62,100.4,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 08:00:00,100.41,101.08,99.8,100.44,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 09:00:00,100.4,100.65,99.34,99.56,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 10:00:00,99.86,99.86,99.2,99.73,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 11:00:00,99.61,99.65,98.53,98.72,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 12:00:00,98.65,98.76,97.53,98.64,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 13:00:00,98.57,98.7,96.32,97.09,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 14:00:00,97.06,98.37,96.97,98.13,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 15:00:00,98.26,98.42,97.66,98.18,1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 16:00:00,98.36,98.58,97.82,98.19,-1.0,momentum,Bull,xgboost,0.521311475409836
2026-08-25 17:00:00,98.12,98.17,97.51,98.16,-1.0,momentum,Bull,xgboost,0.521311475409836
